channel_id,all_comment_count,eng_comment_count
UCBINFWq52ShSgUFEoynfSwg,25,10
UCBJycsmduvYEL83R_U4JriQ,147,135
UCBKvC2TWrSedladWZtezK8A,22,5
UCBM6AwaDl8uPVAN_BUIqPUw,27,11
UCBM_JsVb_65EWAc66WRtuFw,27,21
UCBN_7mH7JV66YN22wyNY8RQ,115,93
UCBOIxRfSIXDT03e116VTzCw,36,31
UCBQjTfMEcxMlI49KCQAHwYQ,26,22
UCBR6D7Rtvw98KYI0DUisT1w,32,9
UCBSE0woFBOMgMLLmlsRn9tQ,31,18
UCBSc0W_R6djZQXZhKpcdlaA,29,27
UCBVY4zJr4qTXdPlMus1VxqA,52,33
UCBWrBsr6oA9JtVaG6wT5XJg,24,10
UCB_qr75-ydFVKSF9Dmo6izg,32,19
UCBbpLKJLhIbDd_wX4ubU_Cw,2,2
UCBcVQr-07MH-p9e2kRTdB3A,24,18
UCBi2mrWuNuyYy4gbM6fU18Q,98,72
UCBj244LMgn9I1JfPNeLMyew,25,22
UCBkNerkJ8362Pat0Fw7T-uA,27,26
UCBr2W3nb0jPSnommNbbpMAw,23,22
UCBt6XQJC3G40OUjb316ENLg,27,15
UCBvZ2hEzZZaWAIrUHVN6YUw,52,22
UCBwmMxybNva6P_5VmxjzwqA,91,50
UCBzJB1kZcFcn65HknBCfCcA,30,12
UCC0-MHKPdq09Mtg5bGjFY7A,27,13
UCC184ncihJzZze2CmfAQGOQ,22,3
UCC1Mi4fVXKETdFGDlW7rC3w,29,26
UCC2nOsHWoccGP7ZzbuMYV0w,23,19
UCC552Sd-3nyi_tk2BudLUzA,21,17
UCC6gbNO098rkQKCU0ZaLITQ,17,4
UCCB1tNcxtHw7kkCzCUqGteg,22,20
UCCB6sAb8YsTr16-bIxFQUhA,33,10
UCCJsQKOKArvDksacfT2ryQw,21,13
UCCK3OZi788Ok44K97WAhLKQ,28,2
UCCLg0FJsmxdyHf9sHJlnsTA,25,20
UCCMAz1jZ4_IyhthHk23EMJQ,107,83
UCCNFCLWh1AA-qbyOyp8jlZg,23,22
UCCNw1OSmIlqIXrzeLE4e7fw,23,14
UCCODtTcd5M1JavPCOr_Uydg,133,107
UCCOi5b2vqQ0hHQRBZ6yoT3w,25,13
UCCOrp7GPgZA8EGrbOcIAsyQ,72,54
UCCQi3X-PJGmd6DrPN9Rb6iw,30,28
UCCRFU6puznGXVKW3Ad_gKXg,30,13
UCCV5kpsPAE2M0KdrSws5R1g,35,25
UCCVclxslsRWT3LHFu8mQhNA,27,22
UCCXoCcu9Rp7NPbTzIvogpZg,23,22
UCCYg74-k06_SmH69neYxfvA,27,18
UCCZGYab5SpD0I7Z5JqJZgww,52,35
UCCbv0qixG-cyokxEY3kELtg,28,24
UCCcl8RCA9wia6TsKUnc-6sQ,11,11
UCCeCpXN7FaJUFBfhLtQYHdw,24,0
UCCfKlFlKYBxZ-UU2dWc17IQ,12,2
UCCfqyGl3nq_V0bo64CjZh8g,31,25
UCCg7II9RHL8Y-GS9NnFQy8g,44,9
UCCgFcKM61Y6qa4ArTTvVWqg,35,0
UCChJlbkHREctAZqoFyfhDeA,29,0
UCChWvNbRQYQ5fj1Nj3RQu8Q,26,14
UCChmJrVa8kDg05JfCmxpLRw,31,31
UCCj956IF62FbT7Gouszaj9w,295,237
UCCjyq_K1Xwfg8Lndy7lKMpA,9,8
UCCk88z7a-Gs6IEAO3fp-UZQ,19,19
UCCktnahuRFYIBtNnKT5IYyg,61,49
UCClfFsWcT3N2I7VTXXyt84A,65,58
UCCtgqKwqf4akt_gSElDqXdg,64,46
UCCu5wtZ5uOWZp_roz7wHPfg,46,41
UCCv191RGdi3HxhhXcB0PMbQ,26,20
UCCveE6GvM-l73rMlv1sAKIA,37,1
UCCysh95qsIUCPb-61VBag8A,28,8
UCCz4pq2xBQgFAcYqx-ElFuA,5,3
UCCzY4KCWLjVzTZfIY0xZtog,20,8
UCCzmXhARScj7wtJ0f2co64A,31,17
UCD-vc2iGxEcLfWhwyJPqe_w,23,13
UCD2pGFLU2sDnlGIPl8U9eEA,33,20
UCD5B6VoXv41fJ-IW8Wrhz9A,22,21
UCD6YMmVyF50oiwXisgbF-2w,19,1
UCD7e_ETGAyGU61vwnknZM7A,16,14
UCDETFHKteb-C_EaXmRKvP4w,26,20
UCDFaGHrYtg_U72sTTU5XDcg,17,17
UCDK4NDcmqgUlSuYoNac0VzA,19,4
UCDOJLR72Jj-lEviJdwU4G6g,35,25
UCDPk9MG2RexnOMGTD-YnSnA,79,57
UCDQ0pYBbR3rGWnn-BZJ9lXA,86,53
UCDQxJLtUe4ixRPgqTYi6PgQ,26,23
UCDTAy8OylJsSxViF6oRiR8A,24,22
UCDVYQ4Zhbm3S2dlz7P1GBDg,24,17
UCDYaeNvP7JDpKvozANiw5fA,22,14
UCDdBzyuqG1oWoQmf7Ih9isw,10,0
UCDeH8IeKqvzn8x_iZPAuIfA,24,5
UCDfYcuNw-ff952Xn0VDWwDw,25,22
UCDgUAAHgsV2fFZQm2fIWBnA,28,26
UCDiFRMQWpcp8_KD4vwIVicw,24,21
UCDjpp9fOeGLy754KJvRl10w,52,45
UCDka4-WyKGDSS8j2AR18K_Q,29,0
UCDl5YK8CD2fY267VdDHLgfg,83,79
UCDqQA5QPBQBvLy6TSaG-0Sg,33,24
UCDrK0DHakytP0-c43kPit-g,27,25
UCDtqUmBIjQWbe9rpnyOQ_Gg,4,4
UCE0-Bxu88d4bsGCv34zvtbA,28,15
UCE28rwYoaV7jvU6GVzdu_GQ,57,40
UCE46LtAJ9BpCWOunD_ZwY5Q,29,23
UCE5mQnNl8Q4H2qcv4ikaXeA,29,20
UCE5wDMNEZElnuRDk6TDPOYg,36,19
UCE7spuKzxP1k8A-XucxxUAQ,25,19
UCEABeKNML9Yy3mQIJRPkKrg,14,6
UCEBb1b_L6zDS3xTUrIALZOw,92,65
UCEEi1lDCkKi1ukmTAgc9-zA,30,11
UCEGC6iQjjJNCLkvLdi12BIg,22,10
UCEGJtJpwHlpUoMlAOlCWdAA,51,34
UCEH0dQo-8q0jQQdPfZYDF3Q,31,20
UCEJdOGwm6CNtc_kIa_Qjy6A,27,25
UCELts_uwGFF5uwaHIFSp41A,20,13
UCENRvVys9nMpQpENGeL8NEg,24,21
UCEOhpXTO8CwrpkBTxOOu4bw,43,19
